"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-3.21935612233222,3.06852956511743,0.000642394084034946,-0.133961082677259,0.00107557520890568,1000,0.5,435,0.2175,-0.129334084254017,0.00107557520890568
"Saturated First Stage",-2.19830477204511,1.79045864119587,0.0140791088342173,-0.12936044303995,0.036690105199282,1000,0.5,464,0.232,-0.129334084254017,0.036690105199282
"Forest",-1.95656639182248,3.84665405398144,0.0251992347927432,0.337751055647282,5.98709263386523e-05,1000,0.5,300,0.15,0.40372330380184,0.0251992347927432
"Saturated First Stage",-0.491149125664826,1.64842468949534,0.311714918077525,0.403625787567591,0.0496327765276249,1000,0.5,112,0.056,0.40372330380184,0.311714918077525
"Forest",-1.94769050127474,2.50106674989992,0.025726003681016,0.241583257363064,0.00619099192739759,1000,0.5,341,0.1705,0.200986893142406,0.025726003681016
"Saturated First Stage",-1.24542379958075,1.72541285305157,0.106635346472231,0.200678690876568,0.0422265483149433,1000,0.5,363,0.1815,0.200986893142406,0.106635346472231
"Forest",-2.81165385959316,4.33517892759627,0.00246437559277782,0.387274938752366,7.28208042583812e-06,1000,0.5,299,0.1495,0.353491720021002,0.00246437559277782
"Saturated First Stage",-1.69462970725396,2.77850092140312,0.0452300911889655,0.348648152186187,0.00273051792027157,1000,0.5,393,0.1965,0.353491720021002,0.0452300911889655
"Forest",-4.78042604858885,2.50498584167658,8.74620476957863e-07,-0.137631499478281,0.0061228147590435,1000,0.5,527,0.2635,-0.074725559934277,0.0061228147590435
"Saturated First Stage",-2.43078741852087,2.32673510953523,0.00762137381977166,-0.0691739379923604,0.00998968399205223,1000,0.5,470,0.235,-0.074725559934277,0.00998968399205223
"Forest",-3.04606961060817,3.33189687584779,0.00115927075128041,0.47229067042356,0.000431281063040215,1000,0.5,233,0.1165,0.495366318503984,0.00115927075128041
"Saturated First Stage",-0.819787652605312,2.17042433553738,0.206267244787304,0.495911358954147,0.0149873574503337,1000,0.5,168,0.084,0.495366318503984,0.206267244787304
"Forest",-4.70553663652381,1.17973623808838,1.26599513700515e-06,-0.445239459799281,0.119052568134595,1000,0.5,250,0.125,-0.436574844834891,0.119052568134595
"Saturated First Stage",-2.35383081632372,1.44095142801093,0.00938785941870946,-0.437071116392681,0.0747992027364182,1000,0.5,259,0.1295,-0.436574844834891,0.0747992027364182
"Forest",-4.21532362244573,1.67604223814552,1.24710130555014e-05,-0.43237017888384,0.0468649597567393,1000,0.5,262,0.131,-0.484616319234604,0.0468649597567393
"Saturated First Stage",-2.0085823766139,0.966545710623044,0.0224263052859751,-0.485398208053993,0.16688559269113,1000,0.5,142,0.071,-0.484616319234604,0.16688559269113
"Forest",-4.43095297175425,2.97856006561756,4.69087751238438e-06,-0.13644908046935,0.00144803130132818,1000,0.5,449,0.2245,-0.103672651254456,0.00144803130132818
"Saturated First Stage",-2.31089446204189,2.16306044867442,0.0105217041347586,-0.0994653323632053,0.0152682653051477,1000,0.5,457,0.2285,-0.103672651254456,0.0152682653051477
"Forest",-3.02122286851082,3.18835283551813,0.0012587799039679,0.305786419079504,0.000715429115969724,1000,0.5,310,0.155,0.265780881476934,0.0012587799039679
"Saturated First Stage",-1.90946544061291,2.48308230510521,0.0282454493922849,0.265064834101227,0.00651254944893133,1000,0.5,364,0.182,0.265780881476934,0.0282454493922849
"Forest",-3.15743746044338,2.2651190686797,0.00079581186715475,-0.0406406930901818,0.0117526868826295,1000,0.5,484,0.242,-0.0207566287551533,0.0117526868826295
"Saturated First Stage",-2.35497069639631,2.2905325676349,0.00935927605678296,-0.0229403174552751,0.010995231442058,1000,0.5,484,0.242,-0.0207566287551533,0.010995231442058
"Forest",-3.32722062238843,3.95231898256662,0.000438584480983645,0.0108824137509885,3.86987368197823e-05,1000,0.5,547,0.2735,-0.00145272105060602,3.86987368197823e-05
"Saturated First Stage",-1.57472524349005,1.56132293443205,0.057819684888934,-2.35491363320366e-05,0.0592237874744213,1000,0.5,487,0.2435,-0.00145272105060602,0.0592237874744213
"Forest",-4.97498284508059,1.86835336995352,3.26267092206637e-07,-0.544696607000156,0.0308564160593734,1000,0.5,215,0.1075,-0.607297870512705,0.0308564160593734
"Saturated First Stage",-3.66828398685175,2.35989942389318,0.000128597086313555,-0.605453926954687,0.00913994514177202,1000,0.5,282,0.141,-0.607297870512705,0.00913994514177202
