"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",0.186199018565519,7.27566263176315,0.573851868882534,1.09890982297417,1.72362056771402e-13,924,0.1848,0,0,1,0.573851868882534,"Medium"
"Forest",-3.89238238659971,15.2646194473877,4.9632312695126e-05,1.22786134633369,6.57966397197618e-53,983,0.1966,906,0.1812,1,4.9632312695126e-05,"Medium"
"Saturated First Stage",-0.0779788068957978,8.31353163679995,0.468924018895739,1.2715183572248,4.64476206243076e-17,983,0.1966,401,0.0802,1,0.468924018895739,"Medium"
"Forest",-3.52159940862769,11.5271057443837,0.00021447590279968,1.13704572092243,4.81639312774692e-31,680,0.136,798,0.1596,1,0.00021447590279968,"Medium"
"Saturated First Stage",0.649663027092738,7.31069777544886,0.742030092627438,1.18205142786413,1.32879334820544e-13,680,0.136,0,0,1,0.742030092627438,"Medium"
"Forest",-5.16062016761701,12.8602944027094,1.23066555924471e-07,0.768738866335102,3.76446853596892e-38,1087,0.2174,1633,0.3266,1,1.23066555924471e-07,"Medium"
"Saturated First Stage",-3.15784512613728,8.70442288296241,0.000799439793242018,0.744121706989359,1.59597394045067e-18,1087,0.2174,1616,0.3232,1,0.000799439793242018,"Medium"
"Forest",-4.57970313928412,13.9151421659865,2.32818175339542e-06,0.942564000718763,2.56289577096011e-44,1392,0.2784,1292,0.2584,1,2.32818175339542e-06,"Medium"
"Saturated First Stage",-1.14369392856612,7.76662954905667,0.12640272713634,1.0148497535773,4.03010681986212e-15,1392,0.2784,1384,0.2768,1,0.12640272713634,"Medium"
"Forest",-5.94568323613611,9.48667813824231,1.37653042595913e-09,0.841979116057574,1.19256964877985e-21,1140,0.228,1299,0.2598,1,1.37653042595913e-09,"Medium"
"Saturated First Stage",-1.50278337585197,6.56663505924625,0.0664790967105397,0.831451835545552,2.5732484495198e-11,1140,0.228,2299,0.4598,1,0.0664790967105397,"Medium"
"Forest",-3.1852245504711,10.1942220772695,0.000723208633625064,1.10259195848324,1.05211174208593e-24,717,0.1434,501,0.1002,1,0.000723208633625064,"Medium"
"Saturated First Stage",-0.106298323706496,6.70761853388728,0.457674967214313,1.13804625894986,9.89131266541617e-12,717,0.1434,785,0.157,1,0.457674967214313,"Medium"
"Forest",-3.3251532517586,9.47336001885545,0.000441849731019538,1.01639808965617,1.35491887480198e-21,474,0.0948,555,0.111,1,0.000441849731019538,"Medium"
