"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-19.5319645511986,-4.91334880314307,3.14683888656347e-82,-3.83812529749094,0.999999552331081,221,0.0442,0,0,-1,0.999999552331081,"Medium"
"Forest",-20.7125365148415,50.2990892817163,1.33509732712336e-95,5.6962607943074,0,687,0.1374,1532,0.3064,1,1.33509732712336e-95,"Medium"
"Saturated First Stage",-15.1836707668346,39.8175356827212,3.07273117183199e-51,5.92530057021299,0,687,0.1374,1610,0.322,1,3.07273117183199e-51,"Medium"
"Forest",-39.043459584718,20.9288248634383,0,-3.56083615162806,1.46310791052304e-97,1145,0.229,1646,0.3292,-1,1.46310791052304e-97,"Medium"
"Saturated First Stage",-34.9512482797381,17.0038869717468,6.67704861602333e-240,-3.47490575947271,3.84254633724244e-65,1145,0.229,1849,0.3698,-1,3.84254633724244e-65,"Medium"
"Forest",-11.4643310619367,34.6558768073052,9.9646760103322e-31,3.62459681675495,1.82165253218444e-263,837,0.1674,1226,0.2452,1,9.9646760103322e-31,"Medium"
"Saturated First Stage",-10.596063690472,29.6149186095354,2.92741154994588e-26,3.4976209459966,4.80120575848348e-193,837,0.1674,962,0.1924,1,2.92741154994588e-26,"Medium"
"Forest",-7.95091659379204,24.7906992746147,9.25682825001994e-16,3.37445319027236,5.64719936048232e-136,557,0.1114,772,0.1544,1,9.25682825001994e-16,"Medium"
"Saturated First Stage",-2.47549311877526,19.3807008680069,0.00666909375492653,3.21402793895586,5.61534824695875e-84,557,0.1114,1482,0.2964,1,0.00666909375492653,"Medium"
"Forest",-31.7831545332828,24.3890591502664,5.53212580585487e-222,-0.467981430406752,1.11716780791885e-131,2015,0.403,2593,0.5186,1,5.53212580585487e-222,"Medium"
"Saturated First Stage",-26.2990804012663,23.6265679834564,3.60700521595067e-143,-0.500924091929675,1.02789729392329e-123,2015,0.403,2707,0.5414,1,3.60700521595067e-143,"Medium"
"Forest",-26.6220314966715,24.3777414431081,1.88685291632885e-156,0.127447207338532,1.47288569101288e-131,1331,0.2662,2398,0.4796,1,1.88685291632885e-156,"Medium"
"Saturated First Stage",-21.927879107567,23.0296602410928,3.95070963690623e-102,0.200174940259052,1.17613341273882e-117,1331,0.2662,2500,0.5,1,3.95070963690623e-102,"Medium"
"Forest",-26.1030561686986,3.96092081664654,1.68293628184429e-150,-4.6259480961178,3.73306451097599e-05,366,0.0732,440,0.088,-1,3.73306451097599e-05,"Medium"
"Saturated First Stage",-24.6039458454097,2.37542967260775,1.46245461957411e-126,-4.5076764548735,0.00876426617128075,366,0.0732,478,0.0956,-1,0.00876426617128075,"Medium"
"Forest",-8.77298702776969,35.3986673719154,8.69940438590058e-19,5.15551670099767,8.95010760392966e-275,491,0.0982,611,0.1222,1,8.69940438590058e-19,"Medium"
"Saturated First Stage",-8.62043829984778,32.0443351956836,4.41824962649471e-18,5.19619900720265,1.31640745679775e-225,491,0.0982,452,0.0904,1,4.41824962649471e-18,"Medium"
"Forest",-31.5791978450308,15.2469350016134,3.56380821533235e-219,-2.65753030981984,8.62722658076109e-53,977,0.1954,1618,0.3236,-1,8.62722658076109e-53,"Medium"
"Saturated First Stage",-24.4897568284481,10.6528015783974,1.7907769442017e-125,-2.67403518868155,8.45974939243227e-27,977,0.1954,910,0.182,-1,8.45974939243227e-27,"Medium"
"Forest",-9.62699545822846,14.4096884958444,3.07507190287444e-22,0.540290724927539,2.24867100397448e-47,2146,0.4292,2298,0.4596,1,3.07507190287444e-22,"Medium"
"Saturated First Stage",-8.98072833205347,11.3237606890333,1.87146806938002e-19,0.477082916736219,5.00421630215099e-30,2146,0.4292,2499,0.4998,1,1.87146806938002e-19,"Medium"
"Forest",-17.4172147004403,3.14815474535976,3.05394768289584e-68,-2.344074935256,0.000821523442375114,639,0.1278,400,0.08,-1,0.000821523442375114,"Medium"
"Saturated First Stage",-11.0202930105276,0.546783589542986,3.19424826537592e-28,-2.31282873163294,0.292263709321298,639,0.1278,65,0.013,-1,0.292263709321298,"Medium"
"Forest",-25.7008803791936,37.2458757966047,5.71346361672638e-146,1.2658266364973,6.17826219494749e-304,2061,0.4122,2795,0.559,-1,6.17826219494749e-304,"Medium"
"Saturated First Stage",-19.5233465601702,25.4960063007388,3.68086528360078e-82,1.10509229017273,1.0914497049157e-143,2061,0.4122,2491,0.4982,-1,1.0914497049157e-143,"Medium"
"Forest",-9.61540635700858,12.7219223980816,3.44185018698369e-22,1.29570521083372,2.23366216945597e-37,1944,0.3888,3643,0.7286,-1,2.23366216945597e-37,"Medium"
"Saturated First Stage",-5.19946944567054,12.8389844693251,1.03918663638654e-07,1.28036122763248,4.95833775458633e-38,1944,0.3888,3375,0.675,-1,4.95833775458633e-38,"Medium"
