"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-7.51607039910276,1.67291720184106,6.30644723359077e-14,-3.48120230907351,0.0471717984603176,153,0.153,249,0.249,-1,0.0471717984603176,"Small"
"Forest",-12.0986720018586,-0.392359300628893,5.3666727788387e-34,-3.19372075680107,0.65260362329507,229,0.229,0,0,-1,0.65260362329507,"Small"
"Saturated First Stage",-5.95121367160447,-0.967030287182212,1.84513858939199e-09,-3.02491765641414,0.833235553424523,229,0.229,0,0,-1,0.833235553424523,"Small"
"Forest",-6.53304381903451,16.6910279111852,3.22231389664058e-11,3.46274695820633,7.61627032549755e-63,145,0.145,268,0.268,1,3.22231389664058e-11,"Small"
"Saturated First Stage",-3.93991223494242,11.5020168152566,4.36162763088776e-05,3.48821326005434,6.44342699797329e-31,145,0.145,409,0.409,1,4.36162763088776e-05,"Small"
"Forest",-10.9471420178625,16.8268982406115,3.42886503789515e-28,1.93889110092133,7.75063995308969e-64,163,0.163,375,0.375,1,3.42886503789515e-28,"Small"
"Saturated First Stage",-5.17851642050098,9.8165773878862,1.3543991111919e-07,1.84499104912304,4.77660216675728e-23,163,0.163,394,0.394,1,1.3543991111919e-07,"Small"
"Forest",-4.20853862187445,17.0337247653667,1.28513800737218e-05,4.46271567469603,2.30848234581295e-65,131,0.131,164,0.164,1,1.28513800737218e-05,"Small"
"Saturated First Stage",-1.24141528395399,10.5467837735489,0.107373212502498,4.48139254645097,2.6282876786642e-26,131,0.131,266,0.266,1,0.107373212502498,"Small"
"Forest",-18.7314248721185,8.85257717360281,1.37235357184073e-78,-2.68881398230458,4.27605796342764e-19,321,0.321,312,0.312,-1,4.27605796342764e-19,"Small"
